bag_ID,ID,sex,svl,tail_length,weight,peak_v_tot,peak_acc_tot,substrate,peak_v,peak_acc
MS3,A,M,5.8,14.4,4.84,2.0506,29.1603,D,2.0506,27.7989
,A,M,5.8,14.4,4.84,2.0506,29.1603,S,1.881,29.1603
,A,M,5.8,14.4,4.84,2.0506,29.1603,SD,1.993,7.9195
SD15,B,F,6.8,14.8,7.6,2.5874,19.8443,D,1.8046,12.5053
,B,F,6.8,14.8,7.6,2.5874,19.8443,S,1.8037,7.6794
,B,F,6.8,14.8,7.6,2.5874,19.8443,SD,2.5874,19.8443
EM19,C,F,5.59,14.2,4.58,2.26,12.0078,D,2.26,7.8152
,C,F,5.59,14.2,4.58,2.26,12.0078,S,1.8773,12.0078
,C,F,5.59,14.2,4.58,2.26,12.0078,SD,2.0226,6.9243
AW27,D,M,5.7,14.4,5.55,1.983,22.2147,D,1.983,10.2382
,D,M,5.7,14.4,5.55,1.983,22.2147,S,1.8661,22.2147
,D,M,5.7,14.4,5.55,1.983,22.2147,SD,1.8266,21.8584
17-0,E,F,6.1,13,4.7,2.0799,36.1411,D,2.0799,28.138
,E,F,6.1,13,4.7,2.0799,36.1411,S,1.9756,22.3735
,E,F,6.1,13,4.7,2.0799,36.1411,SD,1.8684,36.1411
EM19.b,G,F,6.6,7.7,6.97,2.1539,21.1872,D,1.9986,11.065
,G,F,6.6,7.7,6.97,2.1539,21.1872,S,1.809,21.1872
,G,F,6.6,7.7,6.97,2.1539,21.1872,SD,2.1539,12.896
AW27.b,H,F,6.6,14.9,6.11,1.8135,21.8444,D,1.8135,21.8444
,H,F,6.6,14.9,6.11,1.8135,21.8444,S,1.7426,21.3087
,H,F,6.6,14.9,6.11,1.8135,21.8444,SD,1.7377,14.732
EM16.b,I,F,7.1,11.1,7.9,2.0595,29.0389,D,1.8029,10.9207
,I,F,7.1,11.1,7.9,2.0595,29.0389,S,2.0595,29.0389
,I,F,7.1,11.1,7.9,2.0595,29.0389,SD,1.834,20.8944
MS3.b,J,M,6.1,15.5,5.89,2.1656,31.9389,D,2.127,21.8933
,J,M,6.1,15.5,5.89,2.1656,31.9389,S,2.1554,31.9389
,J,M,6.1,15.5,5.89,2.1656,31.9389,SD,2.1656,11.6689
EM18,K,F,6.8,10.3,6.56,1.851,19.2659,D,1.795,16.3568
,K,F,6.8,10.3,6.56,1.851,19.2659,S,1.6252,19.2659
,K,F,6.8,10.3,6.56,1.851,19.2659,SD,1.851,14.5483
EM25,L,F,6.1,4.2,4.23,2.0844,27.871,D,2.0844,27.871
,L,F,6.1,4.2,4.23,2.0844,27.871,S,1.7576,11.5735
,L,F,6.1,4.2,4.23,2.0844,27.871,SD,1.6866,17.588
EM7,M,F,7.8,15.2,8.76,2.1614,36.7036,D,2.0918,36.7036
,M,F,7.8,15.2,8.76,2.1614,36.7036,S,1.6129,8.7569
,M,F,7.8,15.2,8.76,2.1614,36.7036,SD,2.1614,14.0818
EM6,O,F,5.8,7.8,4.09,1.9701,37.9658,D,1.9701,13.1016
,O,F,5.8,7.8,4.09,1.9701,37.9658,S,1.7991,13.0207
,O,F,5.8,7.8,4.09,1.9701,37.9658,SD,1.7426,37.9658
EM7.b,Q,M,6.1,14.9,5.93,1.9432,17.5444,D,1.9432,11.3135
,Q,M,6.1,14.9,5.93,1.9432,17.5444,S,1.2721,2.7734
,Q,M,6.1,14.9,5.93,1.9432,17.5444,SD,1.6026,17.5444
17-0.b,R,F,5.8,12.9,4.29,2.2559,22.1457,D,2.2559,11.4766
,R,F,5.8,12.9,4.29,2.2559,22.1457,S,2.0743,22.1457
,R,F,5.8,12.9,4.29,2.2559,22.1457,SD,1.6878,18.5591
AW21,S,M,6.7,16.1,8.37,2.2335,13.2506,D,2.2335,8.5148
,S,M,6.7,16.1,8.37,2.2335,13.2506,S,2.2058,13.2506
,S,M,6.7,16.1,8.37,2.2335,13.2506,SD,2.1219,8.6561
MS21,T,M,5.8,14,5.01,2.3827,42.4074,D,2.3091,15.1173
,T,M,5.8,14,5.01,2.3827,42.4074,S,2.096,34.9705
,T,M,5.8,14,5.01,2.3827,42.4074,SD,2.3827,42.4074
SD4,U,F,6.2,14.5,5.06,2.2999,20.9724,D,2.2999,16.8343
,U,F,6.2,14.5,5.06,2.2999,20.9724,S,1.7989,10.4509
,U,F,6.2,14.5,5.06,2.2999,20.9724,SD,2.2026,20.9724
EM18.b,V,M,6.2,14.3,6.08,2.6457,32.0585,D,2.6457,32.0585
,V,M,6.2,14.3,6.08,2.6457,32.0585,S,1.702,13.0152
,V,M,6.2,14.3,6.08,2.6457,32.0585,SD,2.4677,14.7608
