ID,sex ,substrate_type,top_acc,top_velocity,svl,tail_length
A,M,D,39.4542,1.881,5.8,14.4
B,F,D,36.2162,1.8046,6.8,14.8
C,F,D,27.5478,2.26,5.59,14.2
D,M,D,27.3091,1.983,5.7,14.4
E,F,D,38.05,2.0799,6.1,13
G,F,D,50.9284,1.9986,6.6,7.7
H,F,D,36.7345,1.8135,6.6,14.9
I,F,D,46.5808,1.8029,7.1,11.1
J,M,D,42.4477,2.127,6.1,15.5
K,F,D,38.094,1.795,6.8,10.3
M,F,D,56.64,2.0918,7.8,15.2
Q,M,D,32.32,1.9432,6.1,14.9
R,F,D,42.1334,2.2559,5.8,12.9
S,M,D,36.5515,2.2335,6.7,16.1
T,M,D,43.1421,2.3091,5.8,14
U,F,D,46.1,2.2999,6.2,14.5
V,M,D,65.16,2.6457,6.2,14.3
