ID,sex ,substrate_type,top_acc,top_velocity,svl,tail_length
A,M,S,44.0226,1.7234,5.8,14.4
B,F,S,52.6965,1.8037,6.8,14.8
C,F,S,50.1685,1.8773,5.59,14.2
D,M,S,23.5576,1.8661,5.7,14.4
E,F,S,38.2726,1.9756,6.1,13
G,F,S,31.3442,1.809,6.6,7.7
H,F,S,43.18,1.7426,6.6,14.9
I,F,S,47.4227,2.0595,7.1,11.1
J,M,S,30.513,2.1554,6.1,15.5
K,F,S,34.6133,1.6252,6.8,10.3
M,F,S,30.1049,1.6129,7.8,15.2
N,F,S,32.8398,2.1833,5.9,13.2
P,F,S,29.3617,1.8037,6.7,14.2
Q,M,S,22.5224,1.2721,6.1,14.9
R,F,S,32.9226,2.0743,5.8,12.9
S,M,S,22.9265,2.2058,6.7,16.1
T,M,S,54.2613,2.096,5.8,14
U,F,S,30.5918,1.7989,6.2,14.5
V,M,S,28.7658,1.702,6.2,14.3
